NO,COMP_ORDER_ID,INV_NO,BARCODE_NO,PRODUCT_IN_BOX,SHIPPER_NAME,SHIPPER_ADDRESS,SHIPPER_AMPHUR,SHIPPER_PROVINCE,SHIPPER_ZIPCODE,SHIPPER_TEL,SHIPPER_EMAIL,RECEIVER,RECEIVER_ADDRESS,RECEIVER_AMPHUR,RECEIVER_PROVINCE,RECEIVER_ZIPCODE,RECEIVER_TEL,RECEIVER_EMAIL,WEIGHT,PRICE,INSURE,INSURE_PRICE,COD_DETAIL_NAME,COD_DETAIL_SIZE,COD_DETAIL_VOLUME,COD_DETAIL_QTY,COD_DETAIL_COLOR,COD_DETAIL_QTY_AMOUNT,PROVE_OF_PAYMENT,IS_CONSENT
1,,,,1,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
2,,,,2,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
3,,,,3,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
4,,,,4,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
5,,,,5,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
6,,,,6,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
7,,,,7,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
8,,,,8,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
9,,,,9,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
10,,,,10,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
11,,,,11,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
12,,,,12,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
13,,,,13,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
14,,,,14,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
15,,,,15,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
16,,,,16,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
17,,,,17,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
18,,,,18,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
19,,,,19,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
20,,,,20,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
21,,,,21,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
22,,,,22,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
23,,,,23,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,
24,,,,24,บริษัท มูฟไว จำกัด,857 ถ.มหาไชย แขวงวังบูรพาภิรมย์, เขตพระนคร, กรุงเทพฯ ,10200,087-341-5360,,,,,,,,,1,0,1,1,,,,,,,,